yellow_cards,red_cards,goals,assists,minutes_played,league_id_DK1,league_id_ES1,league_id_FR1,league_id_GB1,league_id_GR1,league_id_IT1,league_id_L1,league_id_NL1,league_id_PO1,league_id_RU1,league_id_SC1,league_id_TR1,league_id_UKR1,position_Defender,position_Midfield,foot_left,foot_right,age_distr_20-25,age_distr_25-30,age_distr_30>,to_exp_months_6-12,to_exp_months_12-24,to_exp_months_24>,height_distr_170-180,height_distr_180-190,height_distr_190>
4.0,0.0,3.0,2.5,1205.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False
7.0,0.5,0.0,1.0,1810.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False
0.5,0.0,0.25,0.75,688.25,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0.0,0.0,0.0,1.0,149.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False
4.0,0.0,17.5,6.0,2401.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False
7.25,0.25,6.0,3.5,2056.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
9.0,0.0,2.0,1.0,3207.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0.0,0.0,0.0,0.0,180.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
3.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1686.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
4.2,0.0,0.4,1.2,940.2,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
3.5,0.0,1.0,0.5,1350.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False
2.25,0.0,0.0,0.0,1041.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
4.0,0.0,0.0,3.0,1085.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False
1.0,0.0,0.0,2.0,1069.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
5.0,0.0,9.0,2.0,1963.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
2.5,0.25,10.75,2.25,1207.25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False
0.0,0.0,0.0,0.0,363.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
3.75,0.0,2.25,1.75,1806.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
0.0,0.0,0.0,1.0,915.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1.6666666666666667,0.0,0.0,0.3333333333333333,1057.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False
4.25,0.0,0.25,1.25,1743.25,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
1.0,0.0,1.0,2.0,464.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False
0.5,0.0,3.5,1.5,646.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
1.5,0.0,1.0,0.0,798.5,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False
1.75,0.0,4.5,6.0,1953.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
2.5,0.5,4.5,1.0,1121.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
