player_id,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
10,IT1,2.5,0.0,8.0,5.5,1525.75
26,L1,0.0,0.0,0.0,0.0,495.25
65,GR1,1.0,1.0,4.0,0.0,705.0
77,IT1,0.0,0.0,0.0,0.0,90.0
80,L1,0.0,0.0,0.0,0.0,210.0
109,TR1,2.0,0.0,0.5,0.5,1612.0
123,L1,0.0,0.0,0.0,0.0,202.0
132,GB1,3.3333333333333335,0.0,2.0,1.0,913.3333333333334
215,ES1,0.75,0.0,3.5,1.5,1139.0
258,L1,2.0,0.0,0.0,2.0,1007.0
264,L1,0.0,0.0,0.0,0.0,468.0
276,DK1,0.0,0.0,0.0,0.0,142.0
277,ES1,4.0,0.0,0.0,1.0,849.0
299,TR1,10.0,0.0,0.0,5.0,2510.0
325,TR1,0.0,0.0,0.0,0.0,180.0
332,L1,0.0,0.0,0.0,0.0,31.0
410,L1,1.6666666666666667,0.0,0.3333333333333333,1.0,1442.3333333333333
411,L1,2.0,0.0,1.0,0.0,1061.0
447,L1,0.0,0.0,0.0,0.0,696.0
488,GB1,0.0,0.0,0.0,0.0,766.0
532,L1,0.5,0.0,1.75,1.0,461.5
557,L1,0.0,0.0,0.0,0.0,450.0
568,L1,2.75,0.0,1.0,0.0,1313.5
597,RU1,0.0,0.0,0.0,0.0,347.0
598,L1,0.3333333333333333,0.0,0.0,0.0,1080.0
670,ES1,0.0,0.0,0.0,1.0,135.0
690,L1,0.0,0.0,1.0,0.0,65.0
691,L1,2.6666666666666665,0.3333333333333333,2.6666666666666665,2.3333333333333335,1911.3333333333333
735,IT1,1.0,0.0,0.0,1.0,579.0
755,TR1,3.0,0.0,0.5,0.0,1451.5
773,FR1,0.0,0.0,0.0,0.0,279.0
823,L1,4.5,0.0,0.5,1.0,1915.0
831,TR1,1.0,0.0,0.0,0.0,268.0
837,L1,3.0,0.0,1.0,1.0,1013.0
886,L1,4.0,0.0,2.0,0.0,1391.0
892,L1,0.5,0.0,0.0,0.0,562.5
933,TR1,4.75,0.0,0.5,1.0,1488.25
992,L1,0.0,0.0,0.0,0.0,90.0
1073,L1,1.5,0.0,0.5,0.5,625.0
1075,RU1,2.0,0.0,7.0,2.0,929.0
1083,GR1,8.0,0.0,0.0,2.0,2178.0
1094,L1,4.5,0.0,0.5,0.5,1291.5
1095,L1,0.0,0.0,0.0,1.0,10.0
1116,L1,6.0,1.0,0.0,0.0,1688.0
1126,L1,5.25,0.0,0.5,1.25,1887.0
1139,L1,4.333333333333333,0.0,0.6666666666666666,0.3333333333333333,2103.0
1144,L1,0.0,0.0,0.0,0.0,13.0
1150,L1,2.0,0.0,0.0,0.0,2835.0
1161,IT1,0.5,0.0,0.0,0.5,1659.5
1197,DK1,2.0,0.0,1.0,0.0,216.0
1277,L1,6.25,0.0,0.25,2.5,1696.0
1321,TR1,5.0,0.0,0.0,0.0,761.0
1327,FR1,7.0,0.0,2.0,0.0,1297.0
1331,L1,0.0,0.0,0.0,0.0,523.0
1335,L1,0.5,0.0,0.0,0.5,923.5
1363,L1,2.5,1.0,0.0,0.0,1441.0
1368,SC1,3.0,0.0,1.0,0.0,890.0
1397,GB1,0.0,0.0,1.0,0.0,94.0
1423,FR1,3.0,0.0,0.5,2.0,2440.5
1426,L1,1.5,0.0,1.0,1.0,522.0
1428,L1,1.0,0.0,3.0,1.5,904.0
1443,DK1,2.0,1.0,1.0,0.0,781.0
1474,L1,0.0,0.0,0.0,0.0,900.0
1496,L1,0.0,0.0,0.0,0.0,197.0
1532,BE1,3.0,0.0,1.0,2.0,1179.0
1560,NL1,0.0,0.0,0.0,0.0,372.0
1565,L1,0.75,0.0,6.0,1.25,989.25
1568,L1,3.0,0.0,7.0,0.0,1397.0
1572,FR1,0.0,0.0,0.0,0.0,29.0
1573,GB1,0.0,0.0,0.0,0.0,350.0
1586,L1,5.0,0.0,1.0,0.25,1971.0
1587,L1,2.0,0.0,1.0,1.0,1802.0
1606,DK1,10.0,0.0,1.0,0.0,2417.0
1613,FR1,0.0,0.0,0.0,0.0,5.0
1659,L1,1.0,0.0,0.0,0.0,652.0
1662,L1,0.3333333333333333,0.0,0.0,0.0,238.33333333333334
1667,FR1,1.0,0.0,0.0,0.0,1141.0
1684,L1,9.0,0.0,0.0,0.0,1196.0
1716,UKR1,2.0,0.0,2.0,3.0,1063.0
1725,DK1,0.5,0.0,0.0,0.0,1397.0
1726,NL1,1.0,0.0,0.0,0.0,157.0
1772,L1,0.0,0.0,0.0,0.0,288.0
1784,L1,1.25,0.25,0.0,0.5,1480.0
1791,L1,1.0,0.0,3.75,3.0,1678.5
